Experiment,Best Fitness,Mean Fitness,Median Fitness,Worst Fitness,Standard Deviation,Experiment Time,Number of Unique Individuals,Number of Feasible Individuals,Number of Infeasible Individuals,Best Individual,Constraints
5,5800.698498285225,5804.725419608224,5800.698498285225,6870.97048029826,51.754587840086366,76.42227101325989,14,1000,0,[  0.8387337    0.40621095  42.57792944 170.78426599],"[-0.016979664602446265, -1.7501739249470294e-05, -0.06424950901418924, -69.2157340080546, -5800.698498285225, -0.7762337028174342, -0.3437109486082124, -5.348766297182566, -5.781289051391788, -157.4220705588089, -29.215734008054596, -32.57792944119108, -160.7842659919454]"
87,5801.198728606288,5804.753444353792,5801.198728606288,7237.414632554496,58.20375155429777,95.52333974838257,14,998,2,[  0.84373044   0.40623057  42.57432499 170.82928707],"[-0.02204596590748764, -7.151020577972345e-05, -9.646291158162057, -69.17071292915836, -5801.198728606288, -0.7812304381484102, -0.34373057057771755, -5.34376956185159, -5.781269429422283, -157.4256750134237, -29.170712929158356, -32.57432498657629, -160.82928707084164]"
48,5801.946764746428,5805.463625618863,5801.946764746428,7412.948676833847,59.43508574775814,32.10391616821289,14,1000,0,[  0.82787793   0.40610881  42.56816554 170.90171412],"[-0.006312339015988377, -8.508314401023398e-06, -0.22734476393088698, -69.0982858814148, -5801.946764746428, -0.7653779338988829, -0.3436088075466711, -5.359622066101117, -5.781391192453329, -157.4318344620262, -29.098285881414796, -32.568165537973805, -160.9017141185852]"
56,5802.009377648127,5810.287430344089,5802.009377648127,7163.963419607915,76.10174638010463,31.429528951644897,23,998,2,[  0.83016896   0.40616263  42.56768605 170.9075385 ],"[-0.008612616734168355, -6.690568075257142e-05, -0.5476556823123246, -69.09246150007053, -5802.009377648127, -0.7676689574996887, -0.3436626305980097, -5.357331042500311, -5.7813373694019905, -157.43231394997304, -29.092461500070527, -32.56768605002696, -160.90753849992947]"
44,5802.035713738758,5804.07914119369,5802.035713738758,6257.2529599489135,27.14752185645233,34.636749267578125,12,999,1,[  0.82164396   0.4061007   42.5674754  170.91004772],"[-9.168597851172411e-05, -6.989467429607821e-06, -0.4059929270297289, -69.08995228432849, -5802.035713738758, -0.7591439612274946, -0.34360070479775584, -5.365856038772505, -5.781399295202244, -157.4325245984983, -29.08995228432849, -32.5674754015017, -160.9100477156715]"
35,5802.439300889251,5804.748617858816,5802.439300889251,6821.664469968784,38.90245264172891,27.579511642456055,9,998,2,[  0.82286304   0.4061308   42.56431693 170.94804194],"[-0.00137172238603811, -6.72194243011015e-05, -0.3706863548140973, -69.05195806066988, -5802.439300889251, -0.7603630391165085, -0.3436308029273418, -5.364636960883492, -5.781369197072658, -157.4356830709601, -29.051958060669875, -32.56431692903991, -160.94804193933012]"
43,5802.476435932088,5806.187628961997,5802.476435932088,6671.705574120243,39.50113173007636,31.033894300460815,19,998,2,[  0.82402055   0.4061947   42.56401647 170.95160326],"[-0.0025350286349153928, -0.00013398196579000876, -0.06335002882406116, -69.04839674362978, -5802.476435932088, -0.761520546473203, -0.34369469907342026, -5.363479453526797, -5.781305300926579, -157.43598353169494, -29.04839674362978, -32.564016468305056, -160.95160325637022]"
47,5802.614327216712,5807.552510979137,5802.614327216712,7139.097581229735,59.57316115517765,32.30905604362488,21,998,2,[  0.82553015   0.4061137   42.56294625 170.96452666],"[-0.004065289795909477, -6.319623876049896e-05, -0.3218152760528028, -69.03547333936126, -5802.614327216712, -0.7630301524818572, -0.343613703493887, -5.361969847518143, -5.781386296506113, -157.43705374684208, -29.03547333936126, -32.56294625315791, -160.96452666063874]"
99,5802.900898439039,5818.437824158511,5802.900898439039,13970.036110691832,289.5393249977633,78.03266859054565,16,999,1,[  0.84070986   0.4060563   42.56162968 170.98537788],"[-0.01927040405944569, -1.834800972844164e-05, -28.81960277631879, -69.01462211973956, -5802.900898439039, -0.7782098568025017, -0.3435562951169177, -5.346790143197499, -5.781443704883082, -157.438370324194, -29.014622119739556, -32.561629675806, -160.98537788026044]"
67,5802.940553474376,5817.436177227701,5802.940553474376,10231.577777983428,200.09548463780564,30.037551403045654,18,998,2,[  0.83532675   0.40606606  42.56039138 170.99525508],"[-0.01391119570091659, -3.9923832194199704e-05, -0.2188258427195251, -69.00474491960898, -5802.940553474376, -0.7728267493147929, -0.343566057587447, -5.352173250685207, -5.781433942412553, -157.43960862104268, -29.00474491960898, -32.56039137895732, -160.99525508039102]"
80,5803.267399876822,5805.9120255385415,5803.267399876822,6672.685367136606,34.115017556006244,31.655046701431274,15,997,3,[  0.83612774   0.40622317  42.55784337 171.0259673 ],"[-0.01476136327746791, -0.0002213468438762578, -0.46591369481757283, -68.97403270306046, -5803.267399876822, -0.7736277403330458, -0.3437231726008821, -5.351372259666954, -5.781276827399118, -157.44215662924466, -28.97403270306046, -32.55784337075533, -161.02596729693954]"
91,5804.505032183148,5812.332302731744,5804.505032183148,9543.231997737772,134.0413321238419,34.17833638191223,9,999,1,[  0.82270901   0.40595978  42.54828477 171.14169492],"[-0.0015271098679799922, -4.914816259632415e-05, -4.065949746174738, -68.85830507632912, -5804.505032183148, -0.7602090059015755, -0.34345978485485024, -5.364790994098424, -5.781540215145149, -157.45171523141994, -28.858305076329117, -32.548284768580075, -161.14169492367088]"
24,5805.582610418875,5811.114058808562,5805.582610418875,7126.78133424505,60.819007722658625,30.732494592666626,14,999,1,[  0.82405349   0.40585098  42.53987942 171.24304011],"[-0.0030338195715129412, -2.053148102942881e-05, -4.517960784491152, -68.75695988666098, -5805.582610418875, -0.7615534923095214, -0.34335098111422113, -5.363446507690479, -5.781649018885779, -157.4601205835229, -28.75695988666098, -32.53987941647712, -161.24304011333902]"
